,links
0,https://www2.reservebar.com/products/two-james-j.-riddle-peated-bourbon/GROUPING-511464.html
1,https://www2.reservebar.com/products/dona-celia-tequila-reposado/GROUPING-721412.html
2,https://www2.reservebar.com/products/oban-little-bay/GROUPING-76687.html
3,https://www2.reservebar.com/products/powers-john%27s-lane-release-12-year-old/GROUPING-50165.html
4,https://www2.reservebar.com/products/writers%27-tears-double-oak/GROUPING-1346952.html
5,https://www2.reservebar.com/products/flecha-azul-collection/GROUPING-BUNDLE-100000253.html
6,https://www2.reservebar.com/products/sunday%27s-finest-gold-fashioned/GROUPING-1771624.html
7,https://www2.reservebar.com/products/123-organic-tequila-reposado-%28dos%29/GROUPING-1772368.html
8,https://www2.reservebar.com/products/tidy-martini-kit/GROUPING-1772185.html
9,https://www2.reservebar.com/products/luxardo-aperitivo/GROUPING-80738.html
10,https://www2.reservebar.com/products/captain-morgan-black-spiced-rum/GROUPING-80656.html
11,https://www2.reservebar.com/products/blue-chair-bay-banana-rum/GROUPING-78389.html
12,https://www2.reservebar.com/products/stolen-smoked-rum/GROUPING-70403.html
13,https://www2.reservebar.com/products/stranahan%27s%C2%AE-sherry-cask/GROUPING-762301.html
14,https://www2.reservebar.com/products/redbreast-21-year-old/GROUPING-45495.html
15,https://www2.reservebar.com/products/redemption-bourbon-whiskey/GROUPING-36563.html
16,https://www2.reservebar.com/products/redemption-high-rye-bourbon-whiskey/GROUPING-44972.html
17,https://www2.reservebar.com/products/hella-cocktail-margarita-cocktail-mixer/GROUPING-818249.html
18,https://www2.reservebar.com/products/amaro-di-angostura/GROUPING-79835.html
19,https://www2.reservebar.com/products/jura-prophecy/GROUPING-71346.html
20,https://www2.reservebar.com/products/craigellachie-23-year-old/GROUPING-177869.html
21,https://www2.reservebar.com/products/cutwater-vodka/GROUPING-482385.html
22,https://www2.reservebar.com/products/ole-smoky%C2%AE-white-lightnin%E2%80%99-moonshine/GROUPING-46417.html
23,https://www2.reservebar.com/products/garrison-brothers-cowboy-bourbon/GROUPING-469623.html
24,https://www2.reservebar.com/products/ole-smoky%C2%AE-apple-pie-moonshine---70-proof/GROUPING-43487.html
25,https://www2.reservebar.com/products/skinnygirl-cucumber-vodka/GROUPING-47675.html
26,https://www2.reservebar.com/products/roca-patr%C3%B3n-a%C3%B1ejo/GROUPING-51209.html
27,https://www2.reservebar.com/products/bond-%26-lillard-bourbon/GROUPING-530202.html
28,https://www2.reservebar.com/products/conniption-american-dry-gin/GROUPING-514662.html
29,https://www2.reservebar.com/products/glenmorangie-quinta-ruban%2C-12-years-old/GROUPING-46415.html
30,https://www2.reservebar.com/products/martell-vs/GROUPING-50169.html
31,https://www2.reservebar.com/products/germain-robin-brandy/GROUPING-51947.html
32,https://www2.reservebar.com/products/tullamore-d.e.w.-original/GROUPING-38657.html
33,https://www2.reservebar.com/products/traverse-city-barrel-proof-bourbon/GROUPING-467741.html
34,https://www2.reservebar.com/products/compass-box-the-spice-tree/GROUPING-52717.html
35,https://www2.reservebar.com/products/highland-park-25-year-old/GROUPING-44395.html
36,https://www2.reservebar.com/products/dele%C3%B3n-leona-a%C3%B1ejo-tequila/GROUPING-83593.html
37,https://www2.reservebar.com/products/tx-bourbon/GROUPING-491720.html
38,https://www2.reservebar.com/products/the-glendronach-18-year-old-allardice/GROUPING-82256.html
39,https://www2.reservebar.com/products/germain-robin-xo-brandy/GROUPING-718256.html
40,https://www2.reservebar.com/products/laphroaig-select-islay-single-malt-scotch-whisky/GROUPING-71340.html
41,https://www2.reservebar.com/products/noilly-prat-ambre/GROUPING-460588.html
42,https://www2.reservebar.com/products/bird-dog-blended-whiskey/GROUPING-739203.html
43,https://www2.reservebar.com/products/the-macallan-classic-cut/GROUPING-739995.html
44,https://www2.reservebar.com/products/caorunn-gin/GROUPING-51851.html
45,https://www2.reservebar.com/products/yave-tequila-blanco/GROUPING-822493.html
46,https://www2.reservebar.com/products/garrison-brothers-boot-flask-bourbon/GROUPING-49378.html
47,https://www2.reservebar.com/products/noilly-prat-extra-dry-vermouth/GROUPING-50244.html
48,https://www2.reservebar.com/products/twenty-grand-peach-vodka-infused-with-cognac/GROUPING-127082.html
49,https://www2.reservebar.com/products/cincoro-tequila-extra-a%C3%B1ejo/GROUPING-1346948.html
50,https://www2.reservebar.com/products/avi%C3%B3n-a%C3%B1ejo-with-canister/GROUPING-1771862.html
51,https://www2.reservebar.com/products/severo-a%C3%B1ejo/GROUPING-1772378.html
52,https://www2.reservebar.com/products/tequila-casa-dragones-blanco/GROUPING-1772078.html
53,https://www2.reservebar.com/products/ins%C3%B3lito-blanco/GROUPING-1464142.html
54,https://www2.reservebar.com/products/ins%C3%B3lito-a%C3%B1ejo/GROUPING-1395697.html
55,https://www2.reservebar.com/products/solento-organic-reposado/GROUPING-1413624.html
56,https://www2.reservebar.com/products/red-eye-louie%E2%80%99s-vodquila/GROUPING-204309.html
57,https://www2.reservebar.com/products/cazcanes-no.9-blanco/GROUPING-1772304.html
58,https://www2.reservebar.com/products/tosco-tequila-a%C3%B1ejo/GROUPING-1617392.html
59,https://www2.reservebar.com/products/casa-noble-joven/GROUPING-34525.html
60,https://www2.reservebar.com/products/mezcal-el-silencio-espad%C3%ADn/GROUPING-171739.html
61,https://www2.reservebar.com/products/don-julio-blanco/GROUPING-33410.html
62,https://www2.reservebar.com/products/el-tequile%C3%B1o-dual-pack/GROUPING-1771615.html
63,https://www2.reservebar.com/products/sauza-901-silver-tequila/GROUPING-1771622.html
64,https://www2.reservebar.com/products/arbeg-19-year-old-traigh-bhan-batch-3/GROUPING-1310724.html
65,https://www2.reservebar.com/products/compass-box-no-name-ii/GROUPING-1305501.html
